"","departamento","cod_depto","municipio","cod_dane","cod_mun","censo_2014","habilitados_2016","tipo","votos"
"1","ANTIOQUIA",5,"Medell<ed>n",5001,5001,1407617,1508418,"si",253548
"2","ANTIOQUIA",5,"Abejorral",5002,5002,14933,15274,"si",1296
"3","ANTIOQUIA",5,"Abriaqu<ed>",5004,5004,1909,1938,"si",213
"4","ANTIOQUIA",5,"Alejandr<ed>a",5021,5021,4350,4577,"si",966
"5","ANTIOQUIA",5,"Amag<e1>",5030,5030,20732,22028,"si",2084
"6","ANTIOQUIA",5,"Amalfi",5031,5031,15434,16928,"si",1310
"7","ANTIOQUIA",5,"Andes",5034,5034,32870,34842,"si",3193
"8","ANTIOQUIA",5,"Angel<f3>polis",5036,5036,5461,5679,"si",553
"9","ANTIOQUIA",5,"Angostura",5038,5038,8565,9154,"si",705
"10","ANTIOQUIA",5,"Anor<ed>",5040,5040,10171,11144,"si",1764
"11","ANTIOQUIA",5,"Santa Fe De Antioquia",5042,5042,18231,19732,"si",2041
"12","ANTIOQUIA",5,"Anz<e1>",5044,5044,5265,5715,"si",363
"13","ANTIOQUIA",5,"Apartad<f3>",5045,5045,80991,89196,"si",14195
"14","ANTIOQUIA",5,"Arboletes",5051,5051,21333,21448,"si",3691
"15","ANTIOQUIA",5,"Argelia",5055,5055,6481,6627,"si",650
"16","ANTIOQUIA",5,"Armenia",5059,5059,4835,4844,"si",301
"17","ANTIOQUIA",5,"Barbosa",5079,5079,35281,38541,"si",4200
"18","ANTIOQUIA",5,"Belmira",5086,5086,4453,4807,"si",687
"19","ANTIOQUIA",5,"Bello",5088,5088,294886,318411,"si",43642
"20","ANTIOQUIA",5,"Betania",5091,5091,8224,8372,"si",466
"21","ANTIOQUIA",5,"Betulia",5093,5093,12747,13377,"si",1005
"22","ANTIOQUIA",5,"Ciudad Bol<ed>var",5101,5101,23137,24029,"si",1644
"23","ANTIOQUIA",5,"Brice<f1>o",5107,5107,5817,6169,"si",1367
"24","ANTIOQUIA",5,"Buritic<e1>",5113,5113,6407,6829,"si",474
"25","ANTIOQUIA",5,"C<e1>ceres",5120,5120,19096,19788,"si",2506
"26","ANTIOQUIA",5,"Caicedo",5125,5125,5766,6091,"si",593
"27","ANTIOQUIA",5,"Caldas",5129,5129,55671,60580,"si",9292
"28","ANTIOQUIA",5,"Campamento",5134,5134,5899,6360,"si",619
"29","ANTIOQUIA",5,"Ca<f1>asgordas",5138,5138,12623,13402,"si",1911
"30","ANTIOQUIA",5,"Caracol<ed>",5142,5142,4633,4856,"si",578
"31","ANTIOQUIA",5,"Caramanta",5145,5145,5145,5231,"si",568
"32","ANTIOQUIA",5,"Carepa",5147,5147,38195,41461,"si",5327
