n,fecha,encuestadora,muestra,si,no,abstencion,margen_error,fuente,ficha
1,07/07/2016,Ipsos,ND,56,39,ND,ND,Informador,ND	
2,07/08/2016,Ipsos,1000,39,50,11,3.1,Notcias RCN,"http://www.noticiasrcn.com/sites/default/files/if-16-012871-05-_colombia_opina_2016_m3_-_v1.pdf"
3,18/08/2016,Invamer,1200,67,32.5,ND,5,Noticias Caracol,"http://media.caracoltv.co/Noticias/ENCUESTA%20PLEBISCITO.pdf"
4,26/08/2016,Datexco,700,39.2,27.7,10.5,3.7,El Tiempo,"http://www.eltiempo.com/politica/proceso-de-paz/encuesta-sobre-plebiscito-por-la-paz-34086"
5,02/09/2016,Cifras&Conceptos,2305,62,28,10,2.2,Caracol Radio,"http://caracol.com.co/programa/2016/09/02/6am_hoy_por_hoy/1472816572_060253.html"
6,02/09/2016,Datexco,ND,59.5,33.2,4.7,2.1,El País,ND
7,08/09/2016,Ipsos,799,72,28,ND,3.5,Revista Semana,"http://static.iris.net.co/semana/upload/documents/if-16-013519-01--plebiscito---v1-1.pdf"
8,09/09/2016,Datexco,2109,64.8,28,11,2.1,El Tiempo,"http://www.eltiempo.com/politica/proceso-de-paz/encuesta-de-datexco-sobre-el-plebiscito-44807"
9,16/09/2016,Datexco,2109,55.3,38.3,6.4,2.1,El Tiempo,"http://www.eltiempo.com/politica/proceso-de-paz/intencion-de-voto-en-el-plebiscito-por-el-si-y-el-no-37920"
10,20/09/2016,Invamer,1200,67.6,32.4,ND,5,Noticias Caracol,"http://media.caracoltv.co/Noticias/ENCUESTA%20GALLUP%20PLEBISCITO%20SEPTIEMBRE.pdf"
11,23/09/2016,Cifras&Conceptos,3007,54,34,12,2,Caracol Radio,"http://caracol.com.co/programa/2016/09/23/6am_hoy_por_hoy/1474630703_980326.html"
12,27/09/2016,Datexco,2109,55,36.6,8.4,2.1,El Tiempo,"http://www.eltiempo.com/contenido/politica/proceso-de-paz/ARCHIVO/ARCHIVO-16712481-0.pdf"
13,27/09/2016,Cifras&Conceptos,ND,62,38,ND,3.8,Caracol Radio,ND	
14,27/09/2016,Ipsos,851,66,34,ND,3.5,Revista Semana,"http://static.iris.net.co/semana/upload/documents/if-16-069542-01--plebiscito-para-la-paz-medicion-2--v1.pdf"
15,2/10/2016,Resultado,13066047,49.79,50.21,62.6,ND,Registraduria,"https://es.wikipedia.org/wiki/Plebiscito_sobre_los_acuerdos_de_paz_de_Colombia_de_2016"
